circuitid,raceid,resultid,statusid,alt
13,30,268,20,401
13,30,262,11,401
13,30,263,11,401
13,30,264,11,401
13,30,265,11,401
13,30,266,20,401
14,31,282,1,162
14,31,280,1,162
14,31,279,1,162
14,31,278,1,162
14,31,277,1,162
14,31,276,1,162
14,31,275,1,162
14,31,281,1,162
14,31,274,1,162
14,31,273,1,162
14,31,270,1,162
14,31,269,1,162
14,31,272,1,162
14,31,271,1,162
14,31,288,3,162
14,31,287,12,162
14,31,286,11,162
14,31,285,11,162
14,31,284,11,162
14,31,283,1,162
15,32,290,1,18
15,32,289,1,18
15,32,291,1,18
15,32,292,1,18
15,32,293,1,18
15,32,294,1,18
15,32,295,1,18
15,32,296,1,18
15,32,297,1,18
15,32,298,1,18
15,32,299,1,18
15,32,300,1,18
15,32,301,1,18
15,32,302,1,18
15,32,303,3,18
15,32,304,9,18
15,32,305,3,18
15,32,306,7,18
15,32,307,26,18
15,32,308,3,18
16,33,319,1,583
16,33,318,1,583
16,33,317,1,583
16,33,316,1,583
16,33,315,1,583
16,33,314,1,583
16,33,313,1,583
16,33,312,1,583
16,33,311,1,583
16,33,310,1,583
16,33,309,1,583
16,33,320,1,583
16,33,321,11,583
16,33,322,11,583
16,33,323,11,583
16,33,324,6,583
16,33,325,5,583
16,33,326,27,583
16,33,327,28,583
16,33,328,4,583
17,34,329,1,5
17,34,330,1,5
17,34,331,1,5
17,34,332,1,5
17,34,333,1,5
17,34,334,1,5
17,34,335,1,5
17,34,336,1,5
17,34,337,1,5
17,34,338,1,5
17,34,339,1,5
17,34,340,1,5
17,34,341,1,5
17,34,342,1,5
17,34,343,11,5
17,34,344,11,5
17,34,345,11,5
17,34,346,9,5
17,34,347,5,5
17,34,348,4,5
18,35,349,1,785
18,35,350,1,785
18,35,351,1,785
18,35,352,1,785
18,35,353,1,785
18,35,354,1,785
18,35,355,1,785
18,35,356,1,785
18,35,357,1,785
18,35,358,11,785
18,35,359,11,785
18,35,360,11,785
18,35,361,11,785
18,35,362,11,785
18,35,363,11,785
18,35,364,12,785
18,35,365,12,785
18,35,366,12,785
18,35,367,3,785
18,35,368,4,785
1,36,369,1,10
1,36,370,1,10
1,36,371,1,10
1,36,372,1,10
1,36,373,1,10
1,36,374,1,10
1,36,375,11,10
1,36,376,11,10
1,36,377,11,10
1,36,378,11,10
1,36,379,11,10
1,36,380,11,10
1,36,381,11,10
1,36,382,11,10
1,36,383,11,10
1,36,384,12,10
1,36,385,12,10
1,36,386,4,10
1,36,387,4,10
1,36,388,6,10
1,36,389,29,10
1,36,390,3,10
2,37,391,1,18
2,37,392,1,18
2,37,393,1,18
2,37,394,1,18
2,37,395,1,18
2,37,396,1,18
2,37,397,1,18
2,37,398,1,18
2,37,399,1,18
2,37,400,1,18
2,37,401,11,18
2,37,402,11,18
2,37,403,11,18
2,37,404,11,18
2,37,405,11,18
2,37,406,11,18
2,37,407,11,18
2,37,408,11,18
2,37,409,9,18
2,37,410,23,18
2,37,411,5,18
2,37,412,4,18
3,38,427,14,7
3,38,434,4,7
