raceid,circuitid,alt,resultid,statusid
65,11,264,1028,2
66,5,130,1029,1
66,5,130,1030,1
66,5,130,1031,1
66,5,130,1032,1
66,5,130,1033,1
66,5,130,1034,1
66,5,130,1035,1
66,5,130,1036,1
66,5,130,1037,11
66,5,130,1038,11
66,5,130,1039,11
66,5,130,1040,11
66,5,130,1041,11
66,5,130,1042,12
66,5,130,1043,6
66,5,130,1044,20
66,5,130,1045,50
66,5,130,1046,47
66,5,130,1047,20
66,5,130,1048,20
66,5,130,1049,4
66,5,130,1050,4
67,14,162,1051,1
67,14,162,1052,1
67,14,162,1053,1
67,14,162,1054,1
67,14,162,1055,1
67,14,162,1056,1
67,14,162,1057,1
67,14,162,1058,1
67,14,162,1059,1
67,14,162,1060,1
67,14,162,1061,11
67,14,162,1062,11
67,14,162,1063,11
67,14,162,1064,11
67,14,162,1065,11
67,14,162,1066,12
67,14,162,1067,12
67,14,162,1068,23
67,14,162,1069,5
67,14,162,1070,5
67,14,162,1071,9
67,14,162,1072,30
68,17,5,1073,1
68,17,5,1074,1
68,17,5,1075,1
68,17,5,1076,1
68,17,5,1077,1
68,17,5,1078,1
68,17,5,1079,1
68,17,5,1080,1
68,17,5,1081,1
68,17,5,1082,11
68,17,5,1083,11
68,17,5,1084,11
68,17,5,1085,11
68,17,5,1086,11
68,17,5,1087,13
68,17,5,1088,14
68,17,5,1089,51
68,17,5,1090,4
68,17,5,1091,63
68,17,5,1092,20
68,17,5,1093,37
68,17,5,1094,2
69,22,45,1095,1
69,22,45,1096,1
69,22,45,1097,1
69,22,45,1098,1
69,22,45,1099,1
69,22,45,1100,1
69,22,45,1101,1
69,22,45,1102,1
69,22,45,1103,1
69,22,45,1104,11
69,22,45,1105,11
69,22,45,1106,11
69,22,45,1107,11
69,22,45,1108,11
69,22,45,1109,11
69,22,45,1110,12
69,22,45,1111,13
69,22,45,1112,38
69,22,45,1113,3
69,22,45,1114,5
69,22,45,1115,6
69,22,45,1116,30
70,18,785,1117,1
70,18,785,1118,1
70,18,785,1119,1
70,18,785,1120,1
70,18,785,1121,1
70,18,785,1122,1
70,18,785,1123,1
70,18,785,1124,1
70,18,785,1125,1
70,18,785,1126,11
70,18,785,1127,11
70,18,785,1128,11
70,18,785,1129,11
70,18,785,1130,11
70,18,785,1131,12
70,18,785,1132,12
70,18,785,1133,3
70,18,785,1134,6
70,18,785,1135,22
70,18,785,1136,22
70,18,785,1137,4
70,18,785,1138,4
71,1,10,1139,1
71,1,10,1140,1
71,1,10,1141,1
71,1,10,1142,1
71,1,10,1143,1
71,1,10,1144,1
71,1,10,1145,1
71,1,10,1146,1
71,1,10,1147,1
71,1,10,1148,1
71,1,10,1149,11
71,1,10,1150,11
71,1,10,1151,11
71,1,10,1152,12
71,1,10,1153,12
71,1,10,1154,12
71,1,10,1155,14
71,1,10,1156,3
71,1,10,1157,3
71,1,10,1158,6
72,2,18,1159,1
72,2,18,1160,1
72,2,18,1161,1
72,2,18,1162,1
72,2,18,1163,1
72,2,18,1164,1
72,2,18,1165,1
72,2,18,1166,1
72,2,18,1167,1
72,2,18,1168,11
72,2,18,1169,12
72,2,18,1170,13
72,2,18,1171,14
72,2,18,1172,27
72,2,18,1173,4
72,2,18,1174,4
72,2,18,1175,20
72,2,18,1176,5
72,2,18,1177,5
72,2,18,1178,20
73,3,7,1179,1
73,3,7,1180,1
73,3,7,1181,1
73,3,7,1182,1
73,3,7,1183,1
73,3,7,1184,1
73,3,7,1185,11
73,3,7,1186,11
73,3,7,1187,11
73,3,7,1188,12
73,3,7,1189,22
73,3,7,1190,13
73,3,7,1191,14
73,3,7,1192,8
73,3,7,1193,23
73,3,7,1194,5
