raceid,year,driverid,max_points
177,1999,30,16
108,2003,8,6
1033,2020,848,22
951,2016,815,2
727,1963,436,0
816,1953,431,0
783,1957,514,0
733,1962,373,18
46,2007,1,80
665,1969,370,3
906,2014,826,4
868,2012,4,129
668,1968,289,15
813,1953,706,0
515,1979,232,0
180,1999,25,1
772,1958,553,0
498,1980,219,0
1140,2024,4,62
334,1990,90,0
791,1956,486,5
671,1968,340,0
703,1965,304,3
259,1994,92,0
579,1975,231,7
838,1950,797,0
796,1955,650,0
864,2012,155,19
347,2010,67,7
833,1950,666,0
597,1974,223,28
696,1966,375,9
964,2016,839,0
309,1991,100,0
508,1980,228,0
820,1952,703,0
578,1975,197,0
829,1951,697,3
136,2002,17,2
343,2010,30,34
1106,2023,856,0
1023,2019,8,31
813,1953,707,0
435,1985,118,5
747,1960,505,0
1115,2023,1,194
14,2009,6,0
187,1999,55,1
926,2015,831,10
892,2013,818,13
128,2002,21,0
357,1989,137,0
700,1965,412,0
902,2014,821,0
14,2009,22,69
611,1973,238,10
217,1997,55,22
1055,2021,1,94
938,2015,20,178
636,1971,289,0
865,2012,1,63
728,1963,386,29
733,1962,464,0
585,1975,178,0
164,2000,57,29
445,1984,102,9
818,1952,729,0
379,1988,99,0
400,1987,140,26
816,1953,691,2
364,1989,78,0
829,1951,609,0
513,1979,203,2
398,1987,119,2
1089,2022,844,219
776,1957,501,3
46,2007,23,5
362,1989,92,0
764,1959,475,25.5
509,1980,222,2
327,1990,138,1
899,2013,814,48
466,1983,186,0
595,1974,267,0
862,2012,5,0
366,1989,65,5
621,1972,339,0
791,1956,610,0
596,1974,280,0
60,2006,24,0
773,1958,496,0
968,2016,154,29
46,2007,5,16
290,1992,109,0
373,1988,165,0
986,2017,1,333
886,2013,154,26
1009,2018,8,251
1075,2022,839,14
380,1988,119,1
206,1998,21,16
323,1990,147,0
276,1993,120,2
396,1987,118,3
1025,2019,9,1
911,2014,16,0
754,1960,537,0
44,2007,16,0
1004,2018,1,306
991,2018,845,0
890,2013,154,49
974,2017,841,0
580,1975,199,12
360,1989,99,1
813,1953,689,0
491,1981,202,7
263,1994,71,29
787,1956,475,11
547,1977,246,0
548,1977,257,0
1024,2019,840,19
469,1982,199,6
958,2016,838,1
767,1958,589,0
716,1964,370,0
788,1956,626,0
510,1980,202,28
450,1984,105,27.5
735,1962,436,0
1046,2020,807,10
705,1965,293,0
639,1971,338,0
508,1980,230,0
733,1962,430,2
565,1976,172,7
814,1953,628,0
152,2001,14,47
681,1967,373,9
643,1970,340,0
66,2006,33,0
556,1977,268,0
839,1950,669,5
732,1962,401,6
918,2014,825,55
75,2005,25,6
1071,2021,815,178
1112,2023,839,36
488,1981,137,22
307,1991,88,1
649,1970,321,0
859,2011,153,26
259,1994,109,0
424,1985,110,3
505,1980,200,4
239,1996,30,59
790,1956,586,0
